,major_chord,Cb,Cbm,Cb7,Cbm7,Cbmaj7,CbmM7,Cb6,Cbm6,Cbadd2,Cbmadd2,Cbsus4,Cbsus2,Cbdim,Cbdim7,Cbm7b5,Cb+,Cb7sus4,C,Cm,C7,Cm7,Cmaj7,CmM7,C6,Cm6,Cadd2,Cmadd2,Csus4,Csus2,Cdim,Cdim7,Cm7b5,C+,C7sus4,C#,C#m,C#7,C#m7,C#maj7,C#mM7,C#6,C#m6,C#add2,C#madd2,C#sus4,C#sus2,C#dim,C#dim7,C#m7b5,C#+,C#7sus4,Db,Dbm,Db7,Dbm7,Dbmaj7,DbmM7,Db6,Dbm6,Dbadd2,Dbmadd2,Dbsus4,Dbsus2,Dbdim,Dbdim7,Dbm7b5,Db+,Db7sus4,D,Dm,D7,Dm7,Dmaj7,DmM7,D6,Dm6,Dadd2,Dmadd2,Dsus4,Dsus2,Ddim,Ddim7,Dm7b5,D+,D7sus4,D#,D#m,D#7,D#m7,D#maj7,D#mM7,D#6,D#m6,D#add2,D#madd2,D#sus4,D#sus2,D#dim,D#dim7,D#m7b5,D#+,D#7sus4,Eb,Ebm,Eb7,Ebm7,Ebmaj7,EbmM7,Eb6,Ebm6,Ebadd2,Ebmadd2,Ebsus4,Ebsus2,Ebdim,Ebdim7,Ebm7b5,Eb+,Eb7sus4,E,Em,E7,Em7,Emaj7,EmM7,E6,Em6,Eadd2,Emadd2,Esus4,Esus2,Edim,Edim7,Em7b5,E+,E7sus4,E#,E#m,E#7,E#m7,E#maj7,E#mM7,E#6,E#m6,E#add2,E#madd2,E#sus4,E#sus2,E#dim,E#dim7,E#m7b5,E#+,E#7sus4,Fb,Fbm,Fb7,Fbm7,Fbmaj7,FbmM7,Fb6,Fbm6,Fbadd2,Fbmadd2,Fbsus4,Fbsus2,Fbdim,Fbdim7,Fbm7b5,Fb+,Fb7sus4,F,Fm,F7,Fm7,Fmaj7,FmM7,F6,Fm6,Fadd2,Fmadd2,Fsus4,Fsus2,Fdim,Fdim7,Fm7b5,F+,F7sus4,F#,F#m,F#7,F#m7,F#maj7,F#mM7,F#6,F#m6,F#add2,F#madd2,F#sus4,F#sus2,F#dim,F#dim7,F#m7b5,F#+,F#7sus4,Gb,Gbm,Gb7,Gbm7,Gbmaj7,GbmM7,Gb6,Gbm6,Gbadd2,Gbmadd2,Gbsus4,Gbsus2,Gbdim,Gbdim7,Gbm7b5,Gb+,Gb7sus4,G,Gm,G7,Gm7,Gmaj7,GmM7,G6,Gm6,Gadd2,Gmadd2,Gsus4,Gsus2,Gdim,Gdim7,Gm7b5,G+,G7sus4,G#,G#m,G#7,G#m7,G#maj7,G#mM7,G#6,G#m6,G#add2,G#madd2,G#sus4,G#sus2,G#dim,G#dim7,G#m7b5,G#+,G#7sus4,Ab,Abm,Ab7,Abm7,Abmaj7,AbmM7,Ab6,Abm6,Abadd2,Abmadd2,Absus4,Absus2,Abdim,Abdim7,Abm7b5,Ab+,Ab7sus4,A,Am,A7,Am7,Amaj7,AmM7,A6,Am6,Aadd2,Amadd2,Asus4,Asus2,Adim,Adim7,Am7b5,A+,A7sus4,A#,A#m,A#7,A#m7,A#maj7,A#mM7,A#6,A#m6,A#add2,A#madd2,A#sus4,A#sus2,A#dim,A#dim7,A#m7b5,A#+,A#7sus4,Bb,Bbm,Bb7,Bbm7,Bbmaj7,BbmM7,Bb6,Bbm6,Bbadd2,Bbmadd2,Bbsus4,Bbsus2,Bbdim,Bbdim7,Bbm7b5,Bb+,Bb7sus4,B,Bm,B7,Bm7,Bmaj7,BmM7,B6,Bm6,Badd2,Bmadd2,Bsus4,Bsus2,Bdim,Bdim7,Bm7b5,B+,B7sus4,B#,B#m,B#7,B#m7,B#maj7,B#mM7,B#6,B#m6,B#add2,B#madd2,B#sus4,B#sus2,B#dim,B#dim7,B#m7b5,B#+,B#7sus4
0,Cb,1.0,0.5,0.75,0.4,0.75,0.4,0.75,0.4,0.75,0.4,0.5,0.5,0.2,0.167,0.167,0.5,0.4,0.0,0.2,0.0,0.167,0.167,0.4,0.0,0.167,0.0,0.167,0.0,0.0,0.5,0.4,0.4,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.167,0.167,0.2,0.2,0.0,0.0,0.167,0.0,0.4,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.167,0.167,0.2,0.2,0.0,0.0,0.167,0.0,0.4,0.2,0.0,0.167,0.0,0.167,0.0,0.4,0.167,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.2,0.0,0.2,0.5,0.167,0.4,0.167,0.4,0.167,0.4,0.167,0.4,0.2,0.2,0.5,0.4,0.4,0.5,0.167,0.2,0.5,0.167,0.4,0.167,0.4,0.167,0.4,0.167,0.4,0.2,0.2,0.5,0.4,0.4,0.5,0.167,0.2,0.2,0.167,0.167,0.4,0.4,0.167,0.167,0.4,0.4,0.2,0.5,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.167,0.4,0.0,0.167,0.2,0.2,0.167,0.167,0.4,0.4,0.167,0.167,0.4,0.4,0.2,0.5,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.167,0.4,0.0,0.167,0.2,0.2,0.167,0.167,0.167,0.167,0.4,0.4,0.167,0.167,0.5,0.2,0.2,0.4,0.167,0.2,0.4,0.2,0.2,0.167,0.167,0.167,0.167,0.4,0.4,0.167,0.167,0.5,0.2,0.2,0.4,0.167,0.2,0.4,0.2,0.0,0.167,0.0,0.4,0.167,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.5,0.4,0.75,0.167,0.4,0.167,0.4,0.167,0.4,0.2,0.2,0.2,0.167,0.4,0.0,0.4,0.2,0.5,0.4,0.75,0.167,0.4,0.167,0.4,0.167,0.4,0.2,0.2,0.2,0.167,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.167,0.0,0.2,0.2,0.4,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.167,1.0,0.5,0.75,0.4,0.75,0.4,0.75,0.4,0.75,0.4,0.5,0.5,0.2,0.167,0.167,0.5,0.4,0.0,0.2,0.0,0.167,0.167,0.4,0.0,0.167,0.0,0.167,0.0,0.0,0.5,0.4,0.4,0.0,0.0
1,Cbm,0.5,1.0,0.4,0.75,0.4,0.75,0.4,0.75,0.4,0.75,0.5,0.5,0.5,0.4,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.167,0.167,0.0,0.2,0.2,0.167,0.167,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.167,0.0,0.4,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.167,0.0,0.4,0.5,0.2,0.4,0.167,0.4,0.167,0.75,0.4,0.4,0.167,0.2,0.2,0.2,0.4,0.167,0.5,0.167,0.0,0.2,0.0,0.167,0.167,0.4,0.0,0.167,0.0,0.167,0.0,0.0,0.2,0.167,0.167,0.2,0.0,0.0,0.2,0.0,0.167,0.167,0.4,0.0,0.167,0.0,0.167,0.0,0.0,0.2,0.167,0.167,0.2,0.0,0.2,0.2,0.4,0.4,0.167,0.167,0.167,0.167,0.4,0.4,0.2,0.5,0.0,0.0,0.167,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.2,0.4,0.167,0.0,0.0,0.2,0.2,0.4,0.4,0.167,0.167,0.167,0.167,0.4,0.4,0.2,0.5,0.0,0.0,0.167,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.2,0.4,0.167,0.0,0.0,0.2,0.2,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.5,0.2,0.2,0.167,0.167,0.5,0.4,0.2,0.2,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.5,0.2,0.2,0.167,0.167,0.5,0.4,0.5,0.2,0.4,0.167,0.75,0.4,0.4,0.167,0.4,0.167,0.2,0.2,0.0,0.0,0.0,0.2,0.167,0.0,0.2,0.167,0.4,0.0,0.167,0.0,0.167,0.0,0.167,0.0,0.0,0.5,0.4,0.75,0.0,0.167,0.0,0.2,0.167,0.4,0.0,0.167,0.0,0.167,0.0,0.167,0.0,0.0,0.5,0.4,0.75,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.167,0.2,0.2,0.0,0.167,0.0,0.0,0.167,0.2,0.0,0.167,0.0,0.167,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.167,0.0,0.167,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.4,0.75,0.4,0.75,0.4,0.75,0.4,0.75,0.5,0.5,0.5,0.4,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.167,0.167,0.0,0.2,0.2,0.167,0.167,0.0,0.0
2,Cb7,0.75,0.4,1.0,0.6,0.6,0.333,0.6,0.333,0.6,0.333,0.4,0.4,0.167,0.143,0.333,0.4,0.6,0.0,0.167,0.0,0.143,0.143,0.333,0.143,0.333,0.0,0.143,0.0,0.0,0.4,0.6,0.333,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.143,0.143,0.167,0.167,0.0,0.0,0.143,0.167,0.333,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.143,0.143,0.167,0.167,0.0,0.0,0.143,0.167,0.333,0.4,0.167,0.333,0.143,0.333,0.143,0.6,0.333,0.333,0.143,0.167,0.167,0.0,0.143,0.0,0.167,0.143,0.167,0.4,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.167,0.167,0.75,0.6,0.6,0.4,0.143,0.167,0.4,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.167,0.167,0.75,0.6,0.6,0.4,0.143,0.167,0.167,0.143,0.143,0.333,0.333,0.143,0.143,0.333,0.333,0.4,0.4,0.0,0.0,0.0,0.0,0.333,0.167,0.0,0.333,0.143,0.143,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0.167,0.143,0.333,0.167,0.143,0.167,0.167,0.143,0.143,0.333,0.333,0.143,0.143,0.333,0.333,0.4,0.4,0.0,0.0,0.0,0.0,0.333,0.167,0.0,0.333,0.143,0.143,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0.167,0.143,0.333,0.167,0.143,0.167,0.4,0.143,0.333,0.143,0.333,0.333,0.6,0.143,0.333,0.4,0.167,0.4,0.6,0.333,0.167,0.333,0.167,0.4,0.143,0.333,0.143,0.333,0.333,0.6,0.143,0.333,0.4,0.167,0.4,0.6,0.333,0.167,0.333,0.167,0.0,0.143,0.0,0.333,0.143,0.143,0.0,0.333,0.143,0.0,0.167,0.0,0.0,0.0,0.4,0.0,0.167,0.4,0.333,0.6,0.143,0.333,0.143,0.333,0.143,0.333,0.167,0.167,0.167,0.143,0.333,0.0,0.333,0.167,0.4,0.333,0.6,0.143,0.333,0.143,0.333,0.143,0.333,0.167,0.167,0.167,0.143,0.333,0.0,0.333,0.167,0.167,0.143,0.143,0.143,0.143,0.333,0.333,0.333,0.333,0.167,0.4,0.4,0.6,0.333,0.167,0.143,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.143,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.143,0.75,0.4,1.0,0.6,0.6,0.333,0.6,0.333,0.6,0.333,0.4,0.4,0.167,0.143,0.333,0.4,0.6,0.0,0.167,0.0,0.143,0.143,0.333,0.143,0.333,0.0,0.143,0.0,0.0,0.4,0.6,0.333,0.0,0.0
3,Cbm7,0.4,0.75,0.6,1.0,0.333,0.6,0.333,0.6,0.333,0.6,0.4,0.4,0.4,0.333,0.6,0.167,0.6,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.143,0.143,0.0,0.167,0.167,0.333,0.143,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.143,0.167,0.333,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.143,0.167,0.333,0.75,0.4,0.6,0.333,0.6,0.333,1.0,0.6,0.6,0.333,0.4,0.4,0.167,0.333,0.143,0.4,0.333,0.0,0.167,0.0,0.143,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.333,0.167,0.0,0.0,0.167,0.0,0.143,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.333,0.167,0.0,0.167,0.167,0.333,0.333,0.143,0.143,0.143,0.143,0.333,0.333,0.4,0.4,0.0,0.0,0.143,0.0,0.6,0.167,0.0,0.143,0.0,0.143,0.0,0.333,0.143,0.143,0.0,0.0,0.0,0.167,0.333,0.143,0.167,0.0,0.167,0.167,0.333,0.333,0.143,0.143,0.143,0.143,0.333,0.333,0.4,0.4,0.0,0.0,0.143,0.0,0.6,0.167,0.0,0.143,0.0,0.143,0.0,0.333,0.143,0.143,0.0,0.0,0.0,0.167,0.333,0.143,0.167,0.0,0.167,0.4,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.4,0.167,0.4,0.333,0.333,0.4,0.333,0.167,0.4,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.4,0.167,0.4,0.333,0.333,0.4,0.333,0.4,0.167,0.333,0.143,0.6,0.333,0.333,0.143,0.6,0.333,0.167,0.4,0.0,0.0,0.0,0.167,0.143,0.0,0.167,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.6,0.0,0.143,0.0,0.167,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.6,0.0,0.143,0.167,0.167,0.143,0.143,0.143,0.143,0.333,0.333,0.333,0.333,0.4,0.4,0.167,0.333,0.143,0.167,0.333,0.167,0.0,0.143,0.0,0.333,0.143,0.143,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.167,0.0,0.143,0.0,0.333,0.143,0.143,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.75,0.6,1.0,0.333,0.6,0.333,0.6,0.333,0.6,0.4,0.4,0.4,0.333,0.6,0.167,0.6,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.143,0.143,0.0,0.167,0.167,0.333,0.143,0.0,0.0
4,Cbmaj7,0.75,0.4,0.6,0.333,1.0,0.6,0.6,0.333,0.6,0.333,0.4,0.4,0.167,0.143,0.143,0.4,0.333,0.0,0.167,0.143,0.333,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.6,0.0,0.143,0.0,0.0,0.143,0.143,0.0,0.0,0.143,0.143,0.143,0.143,0.167,0.167,0.0,0.143,0.143,0.0,0.333,0.0,0.0,0.143,0.143,0.0,0.0,0.143,0.143,0.143,0.143,0.167,0.167,0.0,0.143,0.143,0.0,0.333,0.167,0.0,0.143,0.0,0.143,0.0,0.333,0.143,0.143,0.0,0.0,0.0,0.0,0.143,0.0,0.4,0.0,0.4,0.75,0.333,0.6,0.333,0.6,0.333,0.6,0.333,0.6,0.4,0.4,0.4,0.333,0.333,0.4,0.333,0.4,0.75,0.333,0.6,0.333,0.6,0.333,0.6,0.333,0.6,0.4,0.4,0.4,0.333,0.333,0.4,0.333,0.167,0.167,0.143,0.143,0.333,0.333,0.143,0.143,0.333,0.333,0.167,0.4,0.167,0.143,0.143,0.0,0.143,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.143,0.333,0.0,0.333,0.167,0.167,0.143,0.143,0.333,0.333,0.143,0.143,0.333,0.333,0.167,0.4,0.167,0.143,0.143,0.0,0.143,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.143,0.333,0.0,0.333,0.4,0.167,0.333,0.143,0.333,0.143,0.6,0.333,0.333,0.143,0.4,0.167,0.167,0.333,0.143,0.4,0.333,0.4,0.167,0.333,0.143,0.333,0.143,0.6,0.333,0.333,0.143,0.4,0.167,0.167,0.333,0.143,0.4,0.333,0.167,0.167,0.143,0.143,0.333,0.333,0.143,0.143,0.143,0.143,0.0,0.0,0.167,0.143,0.143,0.4,0.0,0.167,0.4,0.333,0.6,0.143,0.333,0.143,0.333,0.333,0.6,0.167,0.4,0.167,0.143,0.333,0.0,0.333,0.167,0.4,0.333,0.6,0.143,0.333,0.143,0.333,0.333,0.6,0.167,0.4,0.167,0.143,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.167,0.167,0.333,0.143,0.0,0.0,0.167,0.167,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.4,0.167,0.167,0.143,0.143,0.4,0.333,0.167,0.167,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.4,0.167,0.167,0.143,0.143,0.4,0.333,0.75,0.4,0.6,0.333,1.0,0.6,0.6,0.333,0.6,0.333,0.4,0.4,0.167,0.143,0.143,0.4,0.333,0.0,0.167,0.143,0.333,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.6,0.0,0.143
5,CbmM7,0.4,0.75,0.333,0.6,0.6,1.0,0.333,0.6,0.333,0.6,0.4,0.4,0.4,0.333,0.333,0.167,0.333,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.143,0.143,0.0,0.167,0.167,0.143,0.333,0.0,0.143,0.0,0.0,0.143,0.143,0.0,0.0,0.143,0.143,0.0,0.0,0.167,0.0,0.0,0.143,0.143,0.0,0.333,0.0,0.0,0.143,0.143,0.0,0.0,0.143,0.143,0.0,0.0,0.167,0.0,0.0,0.143,0.143,0.0,0.333,0.4,0.167,0.333,0.143,0.333,0.143,0.6,0.333,0.333,0.143,0.167,0.167,0.167,0.333,0.143,0.75,0.143,0.167,0.4,0.143,0.333,0.333,0.6,0.143,0.333,0.143,0.333,0.167,0.167,0.167,0.143,0.143,0.167,0.143,0.167,0.4,0.143,0.333,0.333,0.6,0.143,0.333,0.143,0.333,0.167,0.167,0.167,0.143,0.143,0.167,0.143,0.167,0.167,0.333,0.333,0.143,0.143,0.143,0.143,0.333,0.333,0.167,0.4,0.167,0.143,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.167,0.0,0.167,0.333,0.143,0.0,0.143,0.167,0.167,0.333,0.333,0.143,0.143,0.143,0.143,0.333,0.333,0.167,0.4,0.167,0.143,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.167,0.0,0.167,0.333,0.143,0.0,0.143,0.4,0.167,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.4,0.167,0.167,0.143,0.143,0.75,0.333,0.4,0.167,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.4,0.167,0.167,0.143,0.143,0.75,0.333,0.4,0.4,0.333,0.333,0.6,0.6,0.333,0.333,0.333,0.333,0.167,0.167,0.167,0.143,0.143,0.167,0.143,0.0,0.167,0.143,0.333,0.0,0.143,0.0,0.143,0.143,0.333,0.0,0.167,0.4,0.333,0.6,0.0,0.143,0.0,0.167,0.143,0.333,0.0,0.143,0.0,0.143,0.143,0.333,0.0,0.167,0.4,0.333,0.6,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.167,0.167,0.0,0.143,0.0,0.0,0.143,0.4,0.167,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.167,0.167,0.167,0.143,0.143,0.75,0.143,0.4,0.167,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.167,0.167,0.167,0.143,0.143,0.75,0.143,0.4,0.75,0.333,0.6,0.6,1.0,0.333,0.6,0.333,0.6,0.4,0.4,0.4,0.333,0.333,0.167,0.333,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.0,0.143,0.143,0.0,0.167,0.167,0.143,0.333,0.0,0.143
6,Cb6,0.75,0.4,0.6,0.333,0.6,0.333,1.0,0.6,0.6,0.333,0.4,0.4,0.167,0.333,0.143,0.4,0.333,0.0,0.167,0.0,0.143,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.333,0.167,0.0,0.167,0.167,0.333,0.333,0.143,0.143,0.143,0.143,0.333,0.333,0.4,0.4,0.0,0.0,0.143,0.0,0.6,0.167,0.167,0.333,0.333,0.143,0.143,0.143,0.143,0.333,0.333,0.4,0.4,0.0,0.0,0.143,0.0,0.6,0.167,0.0,0.143,0.0,0.143,0.0,0.333,0.143,0.143,0.0,0.0,0.0,0.167,0.333,0.143,0.167,0.0,0.167,0.4,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.4,0.167,0.4,0.333,0.333,0.4,0.333,0.167,0.4,0.143,0.333,0.143,0.333,0.143,0.333,0.143,0.333,0.4,0.167,0.4,0.333,0.333,0.4,0.333,0.4,0.167,0.333,0.143,0.6,0.333,0.333,0.143,0.6,0.333,0.167,0.4,0.0,0.0,0.0,0.167,0.143,0.0,0.167,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.6,0.0,0.143,0.4,0.167,0.333,0.143,0.6,0.333,0.333,0.143,0.6,0.333,0.167,0.4,0.0,0.0,0.0,0.167,0.143,0.0,0.167,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.6,0.0,0.143,0.167,0.167,0.143,0.143,0.143,0.143,0.333,0.333,0.333,0.333,0.4,0.4,0.167,0.333,0.143,0.167,0.333,0.167,0.167,0.143,0.143,0.143,0.143,0.333,0.333,0.333,0.333,0.4,0.4,0.167,0.333,0.143,0.167,0.333,0.167,0.0,0.143,0.0,0.333,0.143,0.143,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.75,0.6,1.0,0.333,0.6,0.333,0.6,0.333,0.6,0.4,0.4,0.4,0.333,0.6,0.167,0.6,0.4,0.75,0.6,1.0,0.333,0.6,0.333,0.6,0.333,0.6,0.4,0.4,0.4,0.333,0.6,0.167,0.6,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.143,0.143,0.0,0.167,0.167,0.333,0.143,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.143,0.167,0.333,0.0,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.143,0.167,0.333,0.75,0.4,0.6,0.333,0.6,0.333,1.0,0.6,0.6,0.333,0.4,0.4,0.167,0.333,0.143,0.4,0.333,0.0,0.167,0.0,0.143,0.143,0.333,0.0,0.143,0.0,0.143,0.0,0.0,0.4,0.333,0.333,0.167,0.0
7,Cbm6,0.4,0.75,0.333,0.6,0.333,0.6,0.6,1.0,0.333,0.6,0.4,0.4,0.4,0.6,0.333,0.167,0.333,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.143,0.143,0.0,0.167,0.167,0.143,0.143,0.167,0.0,0.167,0.167,0.333,0.333,0.143,0.143,0.143,0.143,0.143,0.143,0.4,0.167,0.0,0.0,0.143,0.0,0.6,0.167,0.167,0.333,0.333,0.143,0.143,0.143,0.143,0.143,0.143,0.4,0.167,0.0,0.0,0.143,0.0,0.6,0.4,0.167,0.333,0.143,0.333,0.143,0.6,0.333,0.333,0.143,0.167,0.167,0.4,0.6,0.333,0.4,0.143,0.0,0.167,0.0,0.143,0.143,0.333,0.0,0.143,0.0,0.143,0.167,0.0,0.167,0.143,0.143,0.167,0.143,0.0,0.167,0.0,0.143,0.143,0.333,0.0,0.143,0.0,0.143,0.167,0.0,0.167,0.143,0.143,0.167,0.143,0.4,0.167,0.6,0.333,0.333,0.143,0.333,0.143,0.6,0.333,0.167,0.4,0.0,0.0,0.143,0.167,0.333,0.0,0.167,0.0,0.143,0.0,0.143,0.143,0.333,0.0,0.143,0.0,0.0,0.4,0.6,0.333,0.0,0.0,0.4,0.167,0.6,0.333,0.333,0.143,0.333,0.143,0.6,0.333,0.167,0.4,0.0,0.0,0.143,0.167,0.333,0.0,0.167,0.0,0.143,0.0,0.143,0.143,0.333,0.0,0.143,0.0,0.0,0.4,0.6,0.333,0.0,0.0,0.167,0.167,0.143,0.143,0.143,0.143,0.143,0.143,0.333,0.333,0.4,0.4,0.167,0.143,0.143,0.4,0.333,0.167,0.167,0.143,0.143,0.143,0.143,0.143,0.143,0.333,0.333,0.4,0.4,0.167,0.143,0.143,0.4,0.333,0.4,0.167,0.333,0.143,0.6,0.333,0.333,0.143,0.333,0.143,0.167,0.167,0.0,0.0,0.0,0.167,0.143,0.167,0.4,0.333,0.6,0.143,0.333,0.143,0.333,0.143,0.333,0.167,0.167,0.75,0.6,1.0,0.167,0.333,0.167,0.4,0.333,0.6,0.143,0.333,0.143,0.333,0.143,0.333,0.167,0.167,0.75,0.6,1.0,0.167,0.333,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.143,0.143,0.167,0.167,0.0,0.143,0.0,0.0,0.143,0.167,0.0,0.333,0.143,0.143,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.4,0.143,0.167,0.0,0.333,0.143,0.143,0.0,0.143,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.4,0.143,0.4,0.75,0.333,0.6,0.333,0.6,0.6,1.0,0.333,0.6,0.4,0.4,0.4,0.6,0.333,0.167,0.333,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.0,0.143,0.143,0.0,0.167,0.167,0.143,0.143,0.167,0.0
